Year 1 & 2 words,Year 1 & 2 Hints,Sentence,Year 1 & 2 Sentences,Year 3 & 4 words,Hint,Sentence,3/4SplitSentences,Year 5 & 6 words,Hint
off,on,This button is about to come off.,This|button|is|about|to|come|off.,accident,ambulance,,,"accommodate,",hotel
well,ill,Business is going well.,Business|is|going|well.,actually,real,,,"accompany,",travel
miss,hit,He just missed being caught.,He|just|missed|being|caught.,address,home,,,"according,",agree
buzz,bee,I'll buzz along now.,I'll|buzz|along|now.,answer,question,,,"achieve,",success
back,front,At the back of a hall.,At|the|back|of|a|hall.,appear,eyes,,,"aggressive,",angry
bank,money,He went to the bank.,He|went|to|the|bank.,arrive,on time,,,"amateur,",professional
think,idea,Think carefully before you begin.,Think|carefully|before|you|begin.,believe,magic,,,"ancient,",civilisation
honk,horn,The driver honked his horn impatiently.,The|driver|honked|his|horn|impatiently.,bicycle,travel,,,"apparent,",clear
sunk,underground,The sand castle sunk.,The|sand|castle|sunk.,breath,life,,,"appreciate,",enjoy
pocket,wallet,She reached into her pocket.,She|reached|into|her|pocket.,breathe,living things,,,"attached,",added
rabbit,carrot,The rabbit hopped around the garden.,The|rabbit|hopped|around|the|garden.,build,create,,,"available,",free
carrot,rabbit,The rabbit enjoyed the carrot.,The|rabbit|enjoyed|the|carrot.,busy,tired,,,"average,",medium
thunder,noise,It thundered last night.,It|thundered|last|night.,business,company,,,"awkward,",uncomfortable
sunset,sunrise,What time is the sunset this evening?,What|time|is|the|sunset|this|evening?,calendar,diary,,,"bargain,",deal
catch,ball,Can you catch a fish?,Can|you|catch|a|fish?,caught,tag,,,"bruise,",punch
fetch,stick,The dog played fetch with his owner.,The|dog|played|fetch|with|his|owner.,centre,middle,,,"category,",section
kitchen,cook,The kitchen smelled delicious.,The|kitchen|smelled|delicious.,century,one hundred,,,"cemetery,",grave
,,,,certain,sure,,,"committee,",group
hutch,rabbit,The rabbit went into the hutch. ,The|rabbit|went|into|the|hutch.|,circle,round,,,"communicate,",talk
have,own,I have a new pencil case.,I|have|a|new|pencil|case.,complete,full,,,"community,",group
live,home,Where do they live?,Where|do|they|live?,consider,think,,,"competition,",game
give,offer,Give the dog a bone.,Give|the|dog|a|bone.,continue,keep going,,,conscience,thought
cats,dogs,How many cats does she have?,How|many|cats|does|she|have?,decide,decision ,,,conscious,awake
dogs,cats,There are dogs in that house. ,There|are|dogs|in|that|house.|,describe,adjective,,,controversy,problematic
spends,money,He spends a lot of money.,He|spends|a|lot|of|money.,different,weird,,,convenience,easy
rocks,stones,Rocks can be slippery.,Rocks|can|be|slippery.,difficult,hard,,,correspond,write
thanks,please,Thanks for the help. ,Thanks|for|the|help.|,disappear,vanish,,,criticise,opinion
catches,thrown,He catches the ball very easily.,He|catches|the|ball|very|easily.,early,morning,,,curiosity,interested
,,,,earth,soil,,,definite,sure
,,,,eight,number,,,desperate,need
hunter,stay hidden,The hunter stayed very quiet.,The|hunter|stayed|very|quiet.,eighth,position ,,,determined,focused
buzzing,alarm,The alarm was buzzing loudly.,The|alarm|was|buzzing|loudly.,enough,nearly full,,,develop,grow
buzzed,bee,The bee buzzed are her head.,The|bee|buzzed|are|her|head.,exercise,fitness,,,dictionary,words
buzzer,wake up,The buzzer woke her up. ,The|buzzer|woke|her|up.|,experience,old age,,,disastrous,awful
jumping,spring,He was jumping on the trompoline.,He|was|jumping|on|the|trompoline.,experiment,science,,,embarrass,shy
jumped,sprung,She jumped very high.,She|jumped|very|high.,extreme,fast,,,environment,location
jumper,warm,He wore a warm jumper to the party.,He|wore|a|warm|jumper|to|the|party.,famous,celebrity ,,,equipment,instructions
,,,,February,month,,,especially,really
,,,,forward,progress,,,exaggerate,make bigger
fresher,newer,The tomato was fresher than the carrot.,The|tomato|was|fresher|than|the|carrot.,fruit,vegetable,,,excellent,fantastic
freshest,newest,She looked for the freshest vegetable.,She|looked|for|the|freshest|vegetable.,grammar,writing,,,existence,reality
quicker,faster,He ran quicker than ever before. ,He|ran|quicker|than|ever|before.|,group,collection,,,explanation,instructions
quickest,fastest,She's the quickest in her class.,She's|the|quickest|in|her|class.,guard,army,,,familiar,relatable
rain,wet,The rain fell heavily on them. ,The|rain|fell|heavily|on|them.|,guide,manual,,,foreign,other
wait,pause,Let's wait till it stops raining.,Let's|wait|till|it|stops|raining.,heard,sound,,,forty,number
